title,week_tag,date,date_time,date_time_full,format,type,host,location,address,themes,registration_url,url,duration,language,slug,detail_status
Perspectives on Brooklyn's Evolving Working Waterfront,pre-week,20260916,"06:30pm, Wednesday, September 16, 2026","06:30pm - 08:30pm, Wednesday, September 16, 2026",In-person,Public,"American Planning Association NY Metro Chapter's Environment and Waterfront Committees, Waterfront Alliance, Resilient Red Hook and South Street Seaport Museum","213 Water Street, Manhattan, New York, New York, 10038, United States","213 Water Street, Manhattan, New York, New York, 10038, United States",built-environment; finance; transport-and-travel,https://form.jotform.com/262173526327154,https://www.climateweeknyc.org/event-search/perspectives-on-brooklyns-evolving-working-waterfront?hsLang=en,2 hours,English,perspectives-on-brooklyns-evolving-working-waterfront,parsed
Climate Week NYC: Junk Journaling for Adults @ Arverne Library - QPL,pre-week,20260917,"06:00pm, Thursday, September 17, 2026","06:00pm - 07:00pm, Thursday, September 17, 2026",In-person,Public,Queens Public Library,"312 Beach 54th St., Queens, Arverne, New York, 11692, United States","312 Beach 54th St., Queens, Arverne, New York, 11692, United States",cities; energy; industry,,https://www.climateweeknyc.org/event-search/climate-week-nyc-junk-journaling-for-adults-arverne-library-qpl?hsLang=en,1 hour,English,climate-week-nyc-junk-journaling-for-adults-arverne-library-qpl,parsed
Colors of Nature @ Bellerose Library - QPL,pre-week,20260917,"04:00pm, Thursday, September 17, 2026","04:00pm - 05:00pm, Thursday, September 17, 2026",In-person,Public,Department of Environmental Conservation (DEC) at Queens Public Library (QPL),"250-06 Hillside Avenue, Queens, Bellerose, New York, 11426, United States","250-06 Hillside Avenue, Queens, Bellerose, New York, 11426, United States",nature,https://www.queenslibrary.org/calendar/colors-of-nature/015514-0426,https://www.climateweeknyc.org/event-search/colors-of-nature-bellerose-library-qpl?hsLang=en,1 hour,English,colors-of-nature-bellerose-library-qpl,parsed
DEPLOY Climate Week NYC Sustainable Fashion PopUp,pre-week,20260917,"10:00am, Thursday, September 17, 2026","10:00am - 07:00pm, Thursday, September 17, 2026",In-person,Public,DEPLOY,"176 9th Avenue, Manhattan, New York, 10011, United States","176 9th Avenue, Manhattan, New York, 10011, United States",cities,https://deployworkshop.com/pages/deploy-events,https://www.climateweeknyc.org/event-search/deploy-climate-week-nyc-sustainable-fashion-popup?hsLang=en,Multiple days,English,deploy-climate-week-nyc-sustainable-fashion-popup,parsed
Broadway Climate Summit,pre-week,20260917,"07:00pm, Thursday, September 17, 2026","07:00pm - 09:30pm, Thursday, September 17, 2026",In-person,,Broadway Climate Summit,"La MaMa - 47 Great Jones St, Manhattan, New York, New York, 10012","La MaMa - 47 Great Jones St, Manhattan, New York, New York, 10012",,https://luma.com/anukdz48,https://www.climateweeknyc.org/event-search/broadway-climate-summit?hsLang=en,,English,broadway-climate-summit,parsed
Climate Film Festival & Narrative Change Summit,pre-week,20260918,"07:00pm, Friday, September 18, 2026","07:00pm - 07:00pm, Friday, September 18, 2026",In-person,Public,Climate Film Festival,"Manhattan, New York, New York, 10002, United States","Manhattan, New York, New York, 10002, United States",cities; health; nature,https://climatefilmfest.com,https://www.climateweeknyc.org/event-search/climate-film-festival-narrative-change-summit?hsLang=en,Multiple days,English,climate-film-festival-narrative-change-summit,parsed
NYPH Regenerative Metropolis Symposium 2026,pre-week,20260918,"09:00am, Friday, September 18, 2026","09:00am - 07:00pm, Friday, September 18, 2026",In-person,Public,New York Passive House,"63 Fifth Ave., Manhattan, New York, New York, 10011, United States","63 Fifth Ave., Manhattan, New York, New York, 10011, United States",built-environment; energy; finance,https://members.nypassivehouse.org/main-calendar/Details/regenerative-metropolis-symposium-2026-1847153?sourceTypeId=Website,https://www.climateweeknyc.org/event-search/nyph-regenerative-metropolis-symposium-2026?hsLang=en,One day,English,nyph-regenerative-metropolis-symposium-2026,parsed
Wallet Max Emerald Summit and Awards,pre-week,20260918,"09:00am, Friday, September 18, 2026","09:00am - 05:00pm, Friday, September 18, 2026",In-person,Public,Wallet Max™,"124 E 14th St, Manhattan, New York, New York, 10003, United States","124 E 14th St, Manhattan, New York, New York, 10003, United States",finance,https://luma.com/EmeraldSummitWM26,https://www.climateweeknyc.org/event-search/wallet-max-emerald-summit-and-awards?hsLang=en,One day,English,wallet-max-emerald-summit-and-awards,parsed
Stanford University Energy Security Master Class,pre-week,20260918,"10:30am, Friday, September 18, 2026","10:30am - 01:30pm, Friday, September 18, 2026",Virtual,Public,Stanford University Doerr School of Sustainability,Online,Online,energy,https://sustainability-exed.stanford.edu/stanford-doerr-energy-security-class?utm_source=nycclimateweek&utm_medium=weblink&utm_campaign=nycclimateweek_calendar,https://www.climateweeknyc.org/event-search/stanford-university-energy-security-master-class?hsLang=en,6 hours,English,stanford-university-energy-security-master-class,parsed
Student Impact Investing Boot Camp,pre-week,20260918,"02:00pm, Friday, September 18, 2026","02:00pm - 12:30pm, Friday, September 18, 2026",Virtual,Public,Investors Circle & Microfinance and Impact Investing Initiative,Online,Online,finance,https://icstudentbootcamp.vfairs.com/en/,https://www.climateweeknyc.org/event-search/student-impact-investing-boot-camp?hsLang=en,Multiple days,English,student-impact-investing-boot-camp,parsed
Immorality of Inaction: Voicing Truth on Climate,pre-week,20260918,"03:00pm, Friday, September 18, 2026","03:00pm - 06:00pm, Friday, September 18, 2026",In-person,Public,"Center for Earth Ethics; Center for Sustainable Urban Development, Columbia Climate School","Riverside Church, 490 Riverside Drive, Manhattan, New York, New York, 10027, United States","Riverside Church, 490 Riverside Drive, Manhattan, New York, New York, 10027, United States",cities; environmental-justice; policy,https://www.eventbrite.com/e/the-immorality-of-inaction-voicing-truth-on-climate-tickets-1999412656077,https://www.climateweeknyc.org/event-search/immorality-of-inaction-voicing-truth-on-climate?hsLang=en,3 hours,English,immorality-of-inaction-voicing-truth-on-climate,parsed
Opening Celebration for Littoral / Litoral,pre-week,20260918,"04:00pm, Friday, September 18, 2026","04:00pm - 06:00pm, Friday, September 18, 2026",In-person,Public,"Waterfront Alliance, New York Sea Grant, Cornell University's New York State Water Resources Institute, Shirley Chisholm State Park","1750 Granville Payne Avenue, Brooklyn, Brooklyn, New York, 11239, United States","1750 Granville Payne Avenue, Brooklyn, Brooklyn, New York, 11239, United States",cities; environmental-justice; nature,https://form.jotform.com/262182805900151,https://www.climateweeknyc.org/event-search/opening-celebration-for-littoral-litoral?hsLang=en,2 hours,English,opening-celebration-for-littoral-litoral,parsed
"""Not only possible, but on her way"" - an evening with artists imagining irresistible climate futures",pre-week,20260918,"06:00pm, Friday, September 18, 2026","06:00pm - 10:00pm, Friday, September 18, 2026",In-person,Public,Climate Futures Studio,New York City,New York City,environmental-justice; nature; policy,https://luma.com/c27um8t9,https://www.climateweeknyc.org/event-search/not-only-possible-but-on-her-way-an-evening-with-artists-imagining-irresistible-climate-futures?hsLang=en,4 hours,English,not-only-possible-but-on-her-way-an-evening-with-artists-imagining-irresistible-climate-futures,parsed
Material Futures: A Climate Week Conversation,pre-week,20260918,"06:00pm, Friday, September 18, 2026","06:00pm - 08:00pm, Friday, September 18, 2026",In-person,,Pratt Institute Graduate Communications Design,"345 Adams Street, Brooklyn, New York, 11201, United States","345 Adams Street, Brooklyn, New York, 11201, United States",,https://www.eventbrite.com/e/1999295957027?aff=oddtdtcreator,https://www.climateweeknyc.org/event-search/material-futures-a-climate-week-conversation?hsLang=en,,English,material-futures-a-climate-week-conversation,parsed
Global Goals Week,pre-week,20260919,"09:00am, Saturday, September 19, 2026","09:00am - 05:00pm, Saturday, September 19, 2026",Hybrid,Public,"United Nations Foundation, Project Everyone, United Nations Development Programme, United Nations Department of Global Communications, United Nations Office for Partnerships, SDG Action Campaign, and Action for Sustainable Development",New York City,New York City,cities; environmental-justice; policy,https://globalgoalsweek.org/,https://www.climateweeknyc.org/event-search/global-goals-week?hsLang=en,Multiple days,English,global-goals-week,parsed
Please Don't Flush: Staten Island,pre-week,20260919,"05:00pm, Saturday, September 19, 2026","05:00pm - 06:00pm, Saturday, September 19, 2026",In-person,Public,Flood Sensor Aunty,"206 Bay Street, Staten Island, Staten Island, New York, 10301, United States","206 Bay Street, Staten Island, Staten Island, New York, 10301, United States",environmental-justice; health,,https://www.climateweeknyc.org/event-search/please-dont-flush-staten-island?hsLang=en,1 hour,English,please-dont-flush-staten-island,parsed
"Preciously, the Planet: A Climate Week Opening Gathering | Plastic & Clothing Upcycling Workshop",pre-week,20260919,"11:00am, Saturday, September 19, 2026","11:00am - 05:00pm, Saturday, September 19, 2026",In-person,Public,"Climate Cafe NYC, Climate Imaginarium, Precious Plastic NYC, Juliana Castaneda","406A Comfort Road, Manhattan, New York, New York, 10004, United States","406A Comfort Road, Manhattan, New York, New York, 10004, United States",cities; environmental-justice; industry,https://luma.com/l69s330g,https://www.climateweeknyc.org/event-search/preciously-the-planet-a-climate-week-opening-gathering-plastic-clothing-upcycling-workshop?hsLang=en,6 hours,English,preciously-the-planet-a-climate-week-opening-gathering-plastic-clothing-upcycling-workshop,parsed
Health in Climate,pre-week,20260919,"08:00am, Saturday, September 19, 2026","08:00am - 04:00pm, Saturday, September 19, 2026",In-person,Public,Health in Climate,"11 E Loop Road, Manhattan, New York, New York, 10044, United States","11 E Loop Road, Manhattan, New York, New York, 10044, United States",health,https://www.healthinclimate.ai/,https://www.climateweeknyc.org/event-search/health-in-climate?hsLang=en,Multiple days,English,health-in-climate,parsed
Imagined Futures//This Must Be the Place,pre-week,20260919,"10:00am, Saturday, September 19, 2026","10:00am, Saturday, September 19, 2026",In-person,Public,Holes in the Wall Collective,"Citywide- Various locations, NYC, New York, United States","Citywide- Various locations, NYC, New York, United States",cities; environmental-justice; nature,,https://www.climateweeknyc.org/event-search/imagined-futuresthis-must-be-the-place?hsLang=en,Multiple days,"English, Spanish",imagined-futuresthis-must-be-the-place,parsed
"Public Program with Artist Mari Nagem as part of “The Tropics, The Moon, and Mars” presented by CUE Art",pre-week,20260919,"12:00pm, Saturday, September 19, 2026","12:00pm - 06:00pm, Saturday, September 19, 2026",In-person,Public,CUE Art,"137 West 25th street, Manhattan, New York, New York, 10001, United States","137 West 25th street, Manhattan, New York, New York, 10001, United States",nature,https://docs.google.com/forms/d/e/1FAIpQLSfgXvEcZoKvSmS_L28Ly0TKVE-nDomEGUZs-EmOWilQGRfoUw/viewform?usp=dialog,https://www.climateweeknyc.org/event-search/public-program-with-artist-mari-nagem-as-part-of-the-tropics-the-moon-and-mars-presented-by-cue-art?hsLang=en,,English,public-program-with-artist-mari-nagem-as-part-of-the-tropics-the-moon-and-mars-presented-by-cue-art,parsed
International Coastal Cleanup Day with the Waterfront Alliance and Castle Hill YMCA,pre-week,20260919,"10:00am, Saturday, September 19, 2026","10:00am - 12:00pm, Saturday, September 19, 2026",In-person,Public,Waterfront Alliance and Castle Hill YMCA,"2 Castle Hill Ave, The Bronx, Bronx, New York, 10473, United States","2 Castle Hill Ave, The Bronx, Bronx, New York, 10473, United States",cities; environmental-justice; nature,https://form.jotform.com/260475869975176,https://www.climateweeknyc.org/event-search/international-coastal-cleanup-day-with-the-waterfront-alliance-and-castle-hill-ymca?hsLang=en,2 hours,English,international-coastal-cleanup-day-with-the-waterfront-alliance-and-castle-hill-ymca,parsed
UPROSE's 60th Anniversary Gala,pre-week,20260919,"06:00pm, Saturday, September 19, 2026","06:00pm - 11:00pm, Saturday, September 19, 2026",In-person,Private,UPROSE,"647 Fulton St, Brooklyn, Brooklyn, New York, 11217, United States","647 Fulton St, Brooklyn, Brooklyn, New York, 11217, United States",environmental-justice; health,https://www.eventbrite.com/e/uprose-60-years-in-motion-tickets-1983555565091?aff=oddtdtcreator,https://www.climateweeknyc.org/event-search/uproses-60th-anniversary-gala?hsLang=en,5 hours,English,uproses-60th-anniversary-gala,parsed
Open Worlds: Science - Wild City at Museum of the Moving Image,pre-week,20260919,"11:30am, Saturday, September 19, 2026","11:30am - 04:30pm, Saturday, September 19, 2026",In-person,Public,Museum of the Moving Image,"36-01 35 Ave., Queens, Astoria, New York, 11106, United States","36-01 35 Ave., Queens, Astoria, New York, 11106, United States",environmental-justice; nature,https://movingimage.org/event/wild-city/,https://www.climateweeknyc.org/event-search/open-worlds-science-wild-city-at-museum-of-the-moving-image?hsLang=en,,English,open-worlds-science-wild-city-at-museum-of-the-moving-image,parsed
Sand Study Stewardship & International Coastal Clean-up Dance Party in Coney Island Creek,pre-week,20260919,"10:00am, Saturday, September 19, 2026","10:00am - 02:00pm, Saturday, September 19, 2026",In-person,Public,Holes in the Wall Collective and Coney Island Creek International Coastal Clean-up Coalition,"Bay View Ave. between Sea Gate Ave. and W. 33 St., Brooklyn, Brooklyn, New York, 11218, United States","Bay View Ave. between Sea Gate Ave. and W. 33 St., Brooklyn, Brooklyn, New York, 11218, United States",environmental-justice; nature,https://www.holesinthewallcollective.org/imaginedfutures,https://www.climateweeknyc.org/event-search/sand-study-stewardship-international-coastal-clean-up-dance-party-in-coney-island-creek?hsLang=en,4 hours,English,sand-study-stewardship-international-coastal-clean-up-dance-party-in-coney-island-creek,parsed
